"date","geography","geography code","Population: All usual residents aged 16 to 74; measures: Value"
"2011","E00072724","E00072724",708
"2011","E00072728","E00072728",81
"2011","E00072730","E00072730",95
"2011","E00072731","E00072731",23
"2011","E00072733","E00072733",38
"2011","E00072721","E00072721",943
"2011","E00072722","E00072722",106
"2011","E00072727","E00072727",53
"2011","E00072734","E00072734",96
"2011","E00072735","E00072735",92
"2011","E00072736","E00072736",108
"2011","E00072723","E00072723",19
"2011","E00072725","E00072725",40
"2011","E00072726","E00072726",29
"2011","E00072729","E00072729",51
"2011","E00072732","E00072732",27
"2011","E00072738","E00072738",32
"2011","E00072739","E00072739",14
"2011","E00072740","E00072740",31
"2011","E00072748","E00072748",30
"2011","E00072751","E00072751",27
"2011","E00072754","E00072754",53
"2011","E00072737","E00072737",48
"2011","E00072741","E00072741",42
"2011","E00072742","E00072742",163
"2011","E00072743","E00072743",11
"2011","E00072744","E00072744",123
"2011","E00072745","E00072745",1147
"2011","E00072746","E00072746",30
"2011","E00072747","E00072747",20
"2011","E00072749","E00072749",35
"2011","E00072750","E00072750",75
"2011","E00072752","E00072752",27
"2011","E00072753","E00072753",24
"2011","E00072703","E00072703",48
"2011","E00072712","E00072712",41
"2011","E00072713","E00072713",30
"2011","E00072714","E00072714",39
"2011","E00072715","E00072715",542
"2011","E00072716","E00072716",15
"2011","E00072718","E00072718",18
"2011","E00072719","E00072719",157
"2011","E00072720","E00072720",318
"2011","E00072705","E00072705",64
"2011","E00072706","E00072706",16
"2011","E00072709","E00072709",33
"2011","E00072710","E00072710",25
"2011","E00072704","E00072704",10
"2011","E00072707","E00072707",23
"2011","E00072708","E00072708",102
"2011","E00072711","E00072711",20
"2011","E00072717","E00072717",637
"2011","E00072781","E00072781",55
"2011","E00072782","E00072782",47
"2011","E00072784","E00072784",87
"2011","E00072785","E00072785",31
"2011","E00072786","E00072786",45
"2011","E00072792","E00072792",38
"2011","E00072776","E00072776",27
"2011","E00072778","E00072778",24
"2011","E00072788","E00072788",44
"2011","E00072789","E00072789",27
"2011","E00072790","E00072790",111
"2011","E00072791","E00072791",42
