LSOAN05CD,LSOAN05NM,FID
95AA01S1,Aldergrove 1,1
95AA01S2,Aldergrove 2,2
95AA01S3,Aldergrove 3,3
95AA02W1,Balloo,4
95AA03W1,Ballycraigy,5
95AA04W1,Clady,6
95AA05W1,Cranfield,7
95AA06S1,Crumlin 1 Antrim,8
95AA06S2,Crumlin 2 Antrim,9
95AA07W1,Drumanaway,10
95AA08W1,Farranshane,11
95AA09W1,Fountain Hill,12
95AA10W1,Greystone Antrim,13
95AA11S1,Massereene 1,14
95AA11S2,Massereene 2,15
95AA12W1,Parkgate,16
95AA13S1,Randalstown 1,17
95AA13S2,Randalstown 2,18
95AA14W1,Shilvodan,19
95AA15S1,Springfarm 1,20
95AA15S2,Springfarm 2,21
95AA16W1,Steeple,22
95AA17W1,Stiles,23
95AA18W1,Templepatrick,24
95AA19W1,Toome,25
95BB01S1,Ballygowan 1,26
95BB01S2,Ballygowan 2,27
95BB02W1,Ballyrainey,28
95BB03S1,Ballywalter 1,29
95BB03S2,Ballywalter 2,30
95BB04S1,Bradshaw's Brae 1,31
95BB04S2,Bradshaw's Brae 2,32
95BB05S1,Carrowdore 1,33
95BB05S2,Carrowdore 2,34
95BB06W1,Central Ards,35
95BB07S1,Comber East 1,36
95BB07S2,Comber East 2,37
95BB08S1,Comber North 1,38
95BB08S2,Comber North 2,39
95BB09S1,Comber West 1,40
95BB09S2,Comber West 2,41
95BB10S1,Donaghadee North 1,42
95BB10S2,Donaghadee North 2,43
95BB11S1,Donaghadee South 1,44
95BB11S2,Donaghadee South 2,45
95BB12S1,Glen 1,46
95BB12S2,Glen 2,47
95BB13S1,Gregstown 1,48
95BB13S2,Gregstown 2,49
95BB13S3,Gregstown 3,50
95BB14S1,Killinchy 1,51
95BB14S2,Killinchy 2,52
95BB15S1,Kircubbin 1,53
95BB15S2,Kircubbin 2,54
95BB16S1,Lisbane 1,55
95BB16S2,Lisbane 2,56
95BB17S1,Loughries 1,57
95BB17S2,Loughries 2,58
95BB18S1,Millisle 1,59
95BB18S2,Millisle 2,60
95BB19S1,Movilla 1,61
