"origin","destination","start_time","end_time","distance_km","duration_mins","drive_time_mins","transit_time_mins","waiting_time_mins","transfers","journey_details"
"E00159061","E00159247","11:30:00","12:06:21",35.17,36.35,36.35,0,0,0,"[{""startTime"":""11:30:00"",""endTime"":""12:06:21"",""distance"":35170.57,""name"":""Origin"",""from_lat"":52.234,""from_lon"":-1.449,""to_lat"":52.185,""to_lon"":-1.726,""mode"":""CAR"",""agencyName"":""CAR"",""routeShortName"":""CAR"",""duration"":36.35,""_row"":""Origin""}]"
"E00159139","E00159247","11:30:00","11:57:32",23.02,27.53,27.53,0,0,0,"[{""startTime"":""11:30:00"",""endTime"":""11:57:32"",""distance"":23015.3,""name"":""Origin"",""from_lat"":52.061,""from_lon"":-1.63,""to_lat"":52.185,""to_lon"":-1.726,""mode"":""CAR"",""agencyName"":""CAR"",""routeShortName"":""CAR"",""duration"":27.53,""_row"":""Origin""}]"
"E00159264","E00159247","11:30:00","11:37:20",2.44,7.33,7.33,0,0,0,"[{""startTime"":""11:30:00"",""endTime"":""11:37:20"",""distance"":2442.35,""name"":""Origin"",""from_lat"":52.2,""from_lon"":-1.737,""to_lat"":52.185,""to_lon"":-1.726,""mode"":""CAR"",""agencyName"":""CAR"",""routeShortName"":""CAR"",""duration"":7.33,""_row"":""Origin""}]"
"E00159423","E00159247","11:30:00","11:54:13",17.39,24.22,24.22,0,0,0,"[{""startTime"":""11:30:00"",""endTime"":""11:54:13"",""distance"":17390.1,""name"":""Origin"",""from_lat"":52.246,""from_lon"":-1.596,""to_lat"":52.185,""to_lon"":-1.726,""mode"":""CAR"",""agencyName"":""CAR"",""routeShortName"":""CAR"",""duration"":24.22,""_row"":""Origin""}]"
"E00159760","E00159247","11:30:00","12:00:04",22.88,30.07,30.07,0,0,0,"[{""startTime"":""11:30:00"",""endTime"":""12:00:04"",""distance"":22881.84,""name"":""Origin"",""from_lat"":52.284,""from_lon"":-1.528,""to_lat"":52.185,""to_lon"":-1.726,""mode"":""CAR"",""agencyName"":""CAR"",""routeShortName"":""CAR"",""duration"":30.07,""_row"":""Origin""}]"
"E00159061","E00159354","11:30:00","12:07:30",20.48,37.5,37.5,0,0,0,"[{""startTime"":""11:30:00"",""endTime"":""12:07:30"",""distance"":20478.19,""name"":""Origin"",""from_lat"":52.234,""from_lon"":-1.449,""to_lat"":52.354,""to_lon"":-1.587,""mode"":""CAR"",""agencyName"":""CAR"",""routeShortName"":""CAR"",""duration"":37.5,""_row"":""Origin""}]"
"E00159139","E00159354","11:30:00","12:10:52",40.15,40.87,40.87,0,0,0,"[{""startTime"":""11:30:00"",""endTime"":""12:10:52"",""distance"":40153.61,""name"":""Origin"",""from_lat"":52.061,""from_lon"":-1.63,""to_lat"":52.354,""to_lon"":-1.587,""mode"":""CAR"",""agencyName"":""CAR"",""routeShortName"":""CAR"",""duration"":40.87,""_row"":""Origin""}]"
"E00159264","E00159354","11:30:00","11:56:13",24.46,26.22,26.22,0,0,0,"[{""startTime"":""11:30:00"",""endTime"":""11:56:13"",""distance"":24455.92,""name"":""Origin"",""from_lat"":52.2,""from_lon"":-1.737,""to_lat"":52.354,""to_lon"":-1.587,""mode"":""CAR"",""agencyName"":""CAR"",""routeShortName"":""CAR"",""duration"":26.22,""_row"":""Origin""}]"
"E00159423","E00159354","11:30:00","11:53:37",16.23,23.62,23.62,0,0,0,"[{""startTime"":""11:30:00"",""endTime"":""11:53:37"",""distance"":16234.91,""name"":""Origin"",""from_lat"":52.246,""from_lon"":-1.596,""to_lat"":52.354,""to_lon"":-1.587,""mode"":""CAR"",""agencyName"":""CAR"",""routeShortName"":""CAR"",""duration"":23.62,""_row"":""Origin""}]"
"E00159760","E00159354","11:30:00","11:56:18",10.62,26.3,26.3,0,0,0,"[{""startTime"":""11:30:00"",""endTime"":""11:56:18"",""distance"":10615.52,""name"":""Origin"",""from_lat"":52.284,""from_lon"":-1.528,""to_lat"":52.354,""to_lon"":-1.587,""mode"":""CAR"",""agencyName"":""CAR"",""routeShortName"":""CAR"",""duration"":26.3,""_row"":""Origin""}]"
